2022-12-04 16:34:13.036273,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:13.084923,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:34:13.148876,INFO,WAIT,Check low power
2022-12-04 16:34:13.181043,INFO,WAIT,Check timed command
2022-12-04 16:34:13.212706,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:13.260761,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:13.325392,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:13.373363,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:14.413885,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:14.460938,INFO,MDR,Mission data record mode has started
2022-12-04 16:34:14.509041,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:14.573195,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:34:14.621089,INFO,WAIT,Check low power
2022-12-04 16:34:14.653191,INFO,WAIT,Check timed command
2022-12-04 16:34:14.701663,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:14.748306,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:14.797544,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:14.861852,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:15.901810,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:15.949927,INFO,MDR,Mission data record mode has started
2022-12-04 16:34:15.997924,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:16.077240,INFO,WAIT,Wait mode has started
2022-12-04 16:34:16.108718,INFO,WAIT,Check low power
2022-12-04 16:34:16.173462,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:16.221624,INFO,WAIT,Check antenna deployment status
